Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Customer Paid	Customer Currency	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	LB	0	0.000321119969
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	MY	0	0.009624679073
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	RO	0	0.000204044980
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		11	100	Song	0	EUR	DE	0	0.044376995727
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	PH	0	0.004752129542
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	SA	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	ID	0	0.004485644568
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	NO	0	0.005476879473
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	AT	0	0.001315699873
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	CH	0	0.010562393983
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	IE	0	0.015917738467
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	IN	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		5	100	Song	0	EUR	TW	0	0.006417939382
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		11	100	Song	0	EUR	AR	0	0.011638368879
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	AT	0	0.002806454730
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		102	100	Song	0	EUR	AU	0	0.498697081985
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		60	100	Song	0	EUR	CL	0	0.056704434540
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	HU	0	0.009687119067
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	NL	0	0.008542014178
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		149	100	Song	0	EUR	AU	0	0.379580528454
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	GR	0	0.005649704456
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	HU	0	0.006430204381
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		5	100	Song	0	EUR	SG	0	0.007603184268
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	CZ	0	0.001370334868
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		14	100	Song	0	EUR	PE	0	0.021265277953
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		8	100	Song	0	EUR	PH	0	0.010574658982
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		8	100	Song	0	EUR	CA	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	FI	0	0.007015579325
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		5	100	Song	0	EUR	HK	0	0.010194444018
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		5	100	Song	0	EUR	TR	0	0.000263139975
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	ZA	0	0.002505404759
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		11	100	Song	0	EUR	PL	0	0.014618763592
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	PT	0	0.003991699616
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		9	100	Song	0	EUR	ES	0	0.021254127954
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		7	100	Song	0	EUR	NZ	0	0.045029270665
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		8	100	Song	0	EUR	TR	0	0.014115898641
